evento,jogos,ok_12m,error_12m,accuracy_12m,roc_auc_12m,brier_12m,log_loss_12m,ok_6m,error_6m,accuracy_6m,roc_auc_6m,brier_6m,log_loss_6m
PGL Astana 2026,41,30,11,0.7317073170731707,0.8205741626794258,0.20007353831812927,0.5712516088623766,29,12,0.7073170731707317,0.8133971291866029,0.20260063516112975,0.5769321515483008
IEM Atlanta 2026,30,20,10,0.6666666666666666,0.7008928571428572,0.2272636350717302,0.6526575860938136,20,10,0.6666666666666666,0.7008928571428572,0.224215192605516,0.6471058658397405
CS Asia Championships 2026,30,19,11,0.6333333333333333,0.7060185185185186,0.21817140430227822,0.6193002768990643,19,11,0.6333333333333333,0.7060185185185185,0.21611418266892773,0.6143270203537633
TOTAL,101,69,32,0.6831683168316832,0.7303571428571429,0.21352540843825296,0.609703483694493,68,33,0.6732673267326733,0.727579365079365,0.21303472574098645,0.6088832158345093
