window_id,train_seasons,test_season,n_train,n_test,test_negatives,test_positives,baseline_majority_accuracy,roc_auc,accuracy,precision,recall,f1,log_loss,brier
2024_s1_to_2024_s2,2024_s1,2024_s2,574,670,367,303,0.5477611940298508,0.6455787268100108,0.6014925373134329,0.5559006211180124,0.5907590759075908,0.5728,0.6592552001302768,0.2335959190688695
2024_s1_s2_to_2025_s1,2024_s1+2024_s2,2025_s1,1244,688,344,344,0.5,0.6475628718226069,0.6002906976744186,0.6074766355140186,0.5668604651162791,0.5864661654135338,0.6545649476959536,0.23195301603044005
through_2025_s1_to_2025_s2,2024_s1+2024_s2+2025_s1,2025_s2,1932,614,321,293,0.5228013029315961,0.6695054915845322,0.6026058631921825,0.5853658536585366,0.5733788395904437,0.5793103448275863,0.641834545276125,0.22602036974804895
through_2025_s2_to_2026_s1,2024_s1+2024_s2+2025_s1+2025_s2,2026_s1,2546,294,154,140,0.5238095238095238,0.6828385899814471,0.6292517006802721,0.6165413533834586,0.5857142857142857,0.6007326007326007,0.6387933840597698,0.22430145922903105
